doc_id,sent_id,entity_id,type,text,charOffset,source_type,file_name
DDI-DrugBank.d519,DDI-DrugBank.d519.s0,DDI-DrugBank.d519.s0.e0,brand,Plenaxis,45-52,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s1,DDI-DrugBank.d519.s1.e0,brand,Plenaxis,66-73,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s2,DDI-DrugBank.d519.s2.e0,brand,Plenaxis,0-7,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s3,DDI-DrugBank.d519.s3.e0,brand,Plenaxis,29-36,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s4,DDI-DrugBank.d519.s4.e0,brand,Plenaxis,76-83,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s0,DDI-DrugBank.d297.s0.e0,brand,ORENCIA,61-67,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.e0,brand,ORENCIA,115-121,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s3,DDI-DrugBank.d297.s3.e1,brand,ORENCIA,51-57,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s4,DDI-DrugBank.d297.s4.e0,brand,ORENCIA,24-30,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s5,DDI-DrugBank.d297.s5.e0,brand,ORENCIA,70-76,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d532,DDI-DrugBank.d532.s2,DDI-DrugBank.d532.s2.e7,brand,aspirin,205-211,drugbank,Abciximab_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s0,DDI-DrugBank.d368.s0.e0,brand,DIAMOX,0-5,drugbank,Acetazolamide_ddi.xml
