doc_id,sent_id,text,source_type,file_name
DDI-DrugBank.d436,DDI-DrugBank.d436.s0,"No drug, nutritional supplement, food or herb interactions have yet been reported.",drugbank,19-norandrostenedione_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s0,No formal drug/drug interaction studies with Plenaxis were performed.,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s1,Cytochrome P-450 is not known to be involved in the metabolism of Plenaxis.,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s2,Plenaxis is highly bound to plasma proteins (96 to 99%).,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s3,Laboratory Tests Response to Plenaxis should be monitored by measuring serum total testosterone concentrations just prior to administration on Day 29 and every 8 weeks thereafter.,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s4,Serum transaminase levels should be obtained before starting treatment with Plenaxis and periodically during treatment.,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d519,DDI-DrugBank.d519.s5,Periodic measurement of serum PSA levels may also be considered.,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s0,Formal drug interaction studies have not been conducted with ORENCIA.,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,"Population pharmacokinetic analyses revealed that MTX, NSAIDs, corticosteroids, and TNF blocking agents did not influence abatacept clearance.",drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s3,Concurrent administration of a TNF antagonist with ORENCIA has been associated with an increased risk of serious infections and no significant additional efficacy over use of the TNF antagonists alone.,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s4,Concurrent therapy with ORENCIA and TNF antagonists is not recommended.,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s5,"There is insufficient experience to assess the safety and efficacy of ORENCIA administered concurrently with anakinra, and therefore such use is not recommended.",drugbank,Abatacept_ddi.xml
DDI-DrugBank.d532,DDI-DrugBank.d532.s0,Formal drug interaction studies with Abciximab have not been conducted.,drugbank,Abciximab_ddi.xml
DDI-DrugBank.d532,DDI-DrugBank.d532.s1,Abciximab has been administered to patients with ischemic heart disease treated concomitantly with a broad range of medications used in the treatment of angina myocardial infarction and hypertension.,drugbank,Abciximab_ddi.xml
DDI-DrugBank.d532,DDI-DrugBank.d532.s2,"These medications have included heparin, warfarin, beta-adrenergic receptor blockers, calcium channel antagonists, angiotensin converting enzyme inhibitors, intravenous and oral nitrates, ticlopidine, and aspirin.",drugbank,Abciximab_ddi.xml
DDI-DrugBank.d532,DDI-DrugBank.d532.s3,"Heparin, other anticoagulants, thrombolytics, and anti platelet agents are associated with an increase in bleeding.",drugbank,Abciximab_ddi.xml
DDI-DrugBank.d532,DDI-DrugBank.d532.s4,Patients with HACA titers may have allergic or hypersensitivity reactions when treated with other diagnostic or therapeutic monoclonal antibodies.,drugbank,Abciximab_ddi.xml
DDI-DrugBank.d0,DDI-DrugBank.d0.s0,The concomitant intake of alcohol and Acamprosate does not affect the pharmacokinetics of either alcohol or acamprosate.,drugbank,Acamprosate_ddi.xml
DDI-DrugBank.d0,DDI-DrugBank.d0.s1,Pharmacokinetic studies indicate that administration of disulfiram or diazepam does not affect the pharmacokinetics of acamprosate.,drugbank,Acamprosate_ddi.xml
